date,callsource,nature,street
12/6/2023,PHONE,ALARM BURGLAR,LEXINGTON BLVD
12/6/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/6/2023,SELF,TRAFFIC STOP,DULLES AVE
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,SELF,TRAFFIC STOP,N SH 6
12/6/2023,SELF,TRAFFIC STOP,N SH 6
12/6/2023,SELF,TRAFFIC STOP,DULLES AVE
12/6/2023,SELF,TRAFFIC STOP,DULLES AVE
12/6/2023,PHONE,MINOR ACCIDENT,S US 59
12/6/2023,SELF,TRAFFIC STOP,N SH 6/BROOKS ST
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,PHONE,PRISONER PROCESS,S SH 6
12/6/2023,PHONE,BURGLARY,PINE ST
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,SELF,TRAFFIC STOP,WILLIAMS TRACE BLVD
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,PHONE,ANIMAL CONTROL PROBLEM,SHADY LN
12/6/2023,SELF,TRAFFIC STOP,WILLIAMS TRACE BLVD
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,SELF,TRAFFIC STOP,S SH 6/FLUOR DANIEL DR
12/6/2023,PHONE,MINOR ACCIDENT,S GRAND PKWY/W RIVERPARK DR
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/6/2023,PHONE,MINOR ACCIDENT,E US 90A
12/6/2023,SELF,TRAFFIC STOP,WILLIAMS TRACE BLVD
12/6/2023,PHONE,MINOR ACCIDENT,DULLES AVE/VIKING LN
12/6/2023,PHONE,FOLLOW UP,S GRAND PKWY/NEW TERRITORY BLVD
12/6/2023,SELF,TRAFFIC STOP,WILLIAMS TRACE BLVD
12/6/2023,SELF,TRAFFIC STOP,S US 59
12/6/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY
12/6/2023,PHONE,ALARM BURGLAR,BRANFORD PL
12/6/2023,PHONE,ASSIST CITIZEN,WEATHERSTONE CIR
12/6/2023,PHONE,MENTAL HEALTH CONCERN,MAPLE RUN DR
12/6/2023,SELF,TRAFFIC STOP,N US 59
12/6/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/6/2023,SELF,TRAFFIC STOP,N US 59
12/6/2023,SELF,TRAFFIC STOP,N SH 6
12/6/2023,E911,911 HANG UP,N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/6/2023,W911,RECKLESS DRIVER CONDUCT,S SH 6/FLUOR DANIEL DR
12/6/2023,PHONE,DISABLED VEHICLE,N US 59
12/6/2023,SELF,TRAFFIC STOP,MASON RD
12/6/2023,PHONE,ABANDONED VEHICLE,BROKEN OAK LN
12/6/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/6/2023,PHONE,ABANDONED VEHICLE,CREEKSHIRE DR
12/6/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,S US 59
12/6/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/6/2023,PHONE,FOLLOW UP,LANCASTER PARK CT
12/6/2023,SELF,TRAFFIC STOP,GILLINGHAM LN
12/6/2023,SELF,TRAFFIC STOP,GREENBRIAR DR
12/6/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/6/2023,SELF,CVE INSPECTION,N SH 6
12/6/2023,SELF,TRAFFIC STOP,N US 59
12/6/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/6/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/6/2023,SELF,TRAFFIC STOP,S TOWN CENTER BLVD
12/6/2023,SELF,TRAFFIC STOP,N US 59
12/6/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/6/2023,PHONE,MINOR ACCIDENT,N SH 6
12/6/2023,SELF,MINOR ACCIDENT,S TOWN CENTER BLVD/MALL RING RD
12/6/2023,PHONE,RECKLESS DRIVER CONDUCT,E US 90A/UNIVERSITY BLVD
12/6/2023,W911,MINOR ACCIDENT,S SOUTHWEST FWY/DAIRY ASHFORD RD
12/6/2023,PHONE,MINOR ACCIDENT,S SOUTHWEST FWY/DAIRY ASHFORD RD
12/6/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,W911,SUSPICIOUS CIRC PERSON VEHICLE,S SH 6
12/6/2023,SELF,TRAFFIC STOP,N US 59
12/6/2023,PHONE,DISTURBANCE,N SH 6
12/6/2023,W911,CIVIL PROBLEM STANDBY,GRANTS LAKE BLVD
12/6/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/6/2023,W911,MINOR ACCIDENT,UNIVERSITY BLVD
12/6/2023,PHONE,MENTAL HEALTH CONCERN,COUNTRY BROOK CT
12/6/2023,PHONE,911 HANG UP,UNIVERSITY BLVD
12/6/2023,PHONE,ASSIST CITIZEN,SUGARDALE CT
12/6/2023,SELF,TRAFFIC STOP,S SH 6/S SOUTHWEST FWY
12/6/2023,SELF,SUSPICIOUS CIRC PERSON VEHICLE,SOLDIERS FIELD DR
12/6/2023,SELF,FOLLOW UP,S SH 6
12/6/2023,SELF,TRAFFIC STOP,S US 59
12/6/2023,SELF,CVE INSPECTION,KEMPNER ST
12/6/2023,SELF,TRAFFIC STOP,ELKINS RD/OAKLAND DR
12/6/2023,SELF,TRAFFIC STOP,S US 59
12/6/2023,SELF,FOLLOW UP,COOL WATER DR
12/6/2023,PHONE,ASSIST CITIZEN,N SH 6
12/6/2023,PHONE,ID THEFT,VENICE ST
12/6/2023,SELF,TRAFFIC STOP,N US 59
12/6/2023,SELF,FOLLOW UP,CLUB CREEK DR
12/6/2023,PHONE,BURGLARY,MOCKINGBIRD WAY
12/6/2023,SELF,DISABLED VEHICLE,WILLIAMS TRACE BLVD/N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/6/2023,SELF,TRAFFIC STOP,ELKINS RD/OAKLAND DR
12/6/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,E US 90A
12/6/2023,PHONE,DISABLED VEHICLE,S US 59
12/6/2023,SELF,TRAFFIC STOP,W US 90A
12/6/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/6/2023,SELF,TRAFFIC STOP,S US 59
12/6/2023,SELF,TRAFFIC STOP,N SH 6/N SOUTHWEST FWY
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,SHORTGRASS FIELD TR
12/6/2023,SELF,TRAFFIC STOP,N SH 6
12/6/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/6/2023,PHONE,911 HANG UP,S GRAND PKWY
12/6/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/6/2023,SELF,TRAFFIC STOP,GREATWOOD PKWY
12/6/2023,SELF,TRAFFIC STOP,N SH 6
12/6/2023,PHONE,ABANDONED VEHICLE,MILL CREEK DR
12/6/2023,W911,DISTURBANCE,CORAL BEAN DR
12/6/2023,PHONE,MINOR ACCIDENT,W AIRPORT BLVD/INDUSTRIAL BLVD
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,TARA BLVD
12/6/2023,PHONE,PARKING VIOLATION,AUTUMN RIDGE DR/CUNNINGHAM CREEK BLVD
12/6/2023,PHONE,DISABLED VEHICLE,S US 59
12/6/2023,PHONE,ALARM BURGLAR,S SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,SANSBURY BLVD
12/6/2023,SELF,CVE INSPECTION,N SH 6
12/6/2023,SELF,TRAFFIC STOP,SUMMIT CREEK
12/6/2023,SELF,TRAFFIC STOP,E US 90A/LOMBARDY DR
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,CRABB RIVER RD
12/6/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY/WILLIAMS TRACE BLVD
12/6/2023,PHONE,MINOR ACCIDENT,N SH 6/VOSS RD
12/6/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/6/2023,SELF,TRAFFIC STOP,S US 59
12/6/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD/WESCOTT AVE
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,PHONE,911 HANG UP,CANADIAN RIVER DR
12/6/2023,PHONE,FRAUD,TOWN SQUARE PL
12/6/2023,SELF,TRAFFIC STOP,MESQUITE DR
12/6/2023,SELF,PROPERTY LOST RECOVERED,STONEBURY LN
12/6/2023,PHONE,911 HANG UP,S SOUTHWEST FWY
12/6/2023,WALK,ASSIST CITIZEN,S SH 6
12/6/2023,SELF,PARKING VIOLATION,S SH 6
12/6/2023,PHONE,911 HANG UP,PECAN POINT DR
12/6/2023,SELF,TRAFFIC STOP,PALM ROYALE BLVD
12/6/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,WILLIAMS TRACE BLVD
12/6/2023,PHONE,HARASSMENT,SUGAR PARK LN
12/6/2023,PHONE,911 HANG UP,PECAN POINT DR
12/6/2023,SELF,TRAFFIC STOP,INDUSTRIAL BLVD
12/6/2023,E911,911 HANG UP,E US 90A
12/6/2023,PHONE,ALARM PANIC,ST MICHAELS CT
12/6/2023,PHONE,ALARM BURGLAR,S SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,MALL RING RD
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,PHONE,MENTAL HEALTH CONCERN,N SH 6
12/6/2023,PHONE,DISTURBANCE,S SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD/LEXINGTON BLVD
12/6/2023,SELF,THEFT,S SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/6/2023,SELF,MINOR ACCIDENT,BURNEY RD/VOSS RD
12/6/2023,SELF,ASSIST BY LAW,N SOUTHWEST FWY
12/6/2023,PHONE,RECKLESS DRIVER CONDUCT,N US 59
12/6/2023,PHONE,DISTURBANCE,N SH 6
12/6/2023,PHONE,MINOR ACCIDENT,KEMPNER ST
12/6/2023,SELF,FLAGDOWN,PROMENADE WAY
12/6/2023,PHONE,THEFT,ROLLING MILL DR
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,ARDEN OAKS DR
12/6/2023,SELF,TRAFFIC STOP,COMMONWEALTH BLVD
12/6/2023,PHONE,DISTURBANCE,MONET DR
12/6/2023,SELF,TRAFFIC STOP,SANSBURY BLVD
12/6/2023,PHONE,LOUD MUSIC NOISE,SLEEPY HOLLOW DR
12/6/2023,SELF,TRAFFIC STOP,N SH 6
12/6/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/6/2023,SELF,PARKING VIOLATION,MALL RING RD
12/6/2023,SELF,SUSPICIOUS CIRC PERSON VEHICLE,LEXINGTON BLVD/SETTLERS WAY BLVD
12/6/2023,PHONE,THEFT,S SOUTHWEST FWY
12/6/2023,PHONE,FRAUD,STREAMHURST LN
12/6/2023,PHONE,ALARM PANIC,N SH 6
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,HAMPDEN CT
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,ALSTON RD/RYDERWOOD LN
12/6/2023,PHONE,CIVIL PROBLEM STANDBY,N SH 6
12/6/2023,PHONE,MINOR ACCIDENT,W US 90A/DAIRY ASHFORD RD
12/6/2023,PHONE,THEFT,UNIVERSITY BLVD
12/6/2023,SELF,PROPERTY LOST RECOVERED,N SH 6
12/6/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/6/2023,PHONE,911 HANG UP,STEPHENS GRANT DR
12/6/2023,SELF,TRAFFIC STOP,SWEETWATER BLVD
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,SWIFT CREEK CT
12/6/2023,PHONE,DISTURBANCE,S SH 6
12/6/2023,SELF,PRISONER PROCESS,S SH 6
12/6/2023,PHONE,ASSIST CITIZEN,RIVERCREST DR
12/6/2023,PHONE,DEATH INVESTIGATION,MATLAGE WAY
12/6/2023,SELF,TRAFFIC STOP,HUNTLEY DR
12/6/2023,PHONE,CIVIL PROBLEM STANDBY,SALISBURY
12/6/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/6/2023,SELF,SUSPICIOUS CIRC PERSON VEHICLE,N SOUTHWEST FWY
12/6/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/6/2023,W911,DISTURBANCE,FLUOR DANIEL DR
12/6/2023,PHONE,CIVIL PROBLEM STANDBY,GATESPRINGS LN
12/6/2023,PHONE,DEATH INVESTIGATION,SEVENTH ST
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,MILLGLEN CT
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,SELF,TRAFFIC STOP,S SH 6
12/6/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/6/2023,SELF,TRAFFIC STOP,S SH 6/FLUOR DANIEL DR
12/6/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,PHONE,911 HANG UP,MERRIWEATHER ST
12/7/2023,PHONE,ALARM BURGLAR,S SH 6
12/7/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,SELF,TRAFFIC STOP,DAIRY ASHFORD RD
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,SELF,TRAFFIC STOP,N SH 6
12/7/2023,SELF,TRAFFIC STOP,W US 90A
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,PHONE,TRESPASS,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,PHONE,ALARM BURGLAR,S SH 6
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,SHERWOOD ST
12/7/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,W911,911 HANG UP,FOREST RAIN DR
12/7/2023,SELF,TRAFFIC STOP,N SH 6
12/7/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/7/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/7/2023,PHONE,ALARM BURGLAR,S SH 6
12/7/2023,SELF,TRAFFIC STOP,E US 90A
12/7/2023,PHONE,MENTAL HEALTH CONCERN,COUNTRY BROOK CT
12/7/2023,E911,ASSIST BY LAW,S SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,SELF,SUSPICIOUS CIRC PERSON VEHICLE,LAKEFIELD WAY
12/7/2023,SELF,TRAFFIC STOP,E US 90A
12/7/2023,PHONE,MENTAL HEALTH CONCERN,LAKE POINTE PKWY
12/7/2023,PHONE,911 HANG UP,FOXBRUSH LN
12/7/2023,SELF,DISABLED VEHICLE,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,DULLES AVE
12/7/2023,PHONE,ALARM BURGLAR,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD/DULLES AVE
12/7/2023,PHONE,ALARM BURGLAR,COMMERCE GREEN BLVD
12/7/2023,PHONE,MINOR ACCIDENT,N SH 6/TOWN CENTER DR
12/7/2023,SELF,TRAFFIC STOP,DULLES AVE/COUNTRY CLUB BLVD
12/7/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,PHONE,DISABLED VEHICLE,E US 90A/BAYVIEW DR
12/7/2023,SELF,TRAFFIC STOP,DULLES AVE/COUNTRY CLUB BLVD
12/7/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/7/2023,PHONE,ALARM BURGLAR,N SH 6
12/7/2023,SELF,TRAFFIC STOP,AUSTIN PKWY
12/7/2023,SELF,TRAFFIC STOP,DULLES AVE/COUNTRY CLUB BLVD
12/7/2023,SELF,TRAFFIC STOP,E US 90A
12/7/2023,W911,CARDIAC OR RESPIRATORY ARREST,N SH 6
12/7/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,DAIRY ASHFORD RD
12/7/2023,SELF,TRAFFIC STOP,S US 59
12/7/2023,PHONE,DISABLED VEHICLE,N SOUTHWEST FWY/TABORWOOD AVE
12/7/2023,SELF,TRAFFIC STOP,N US 59
12/7/2023,SELF,TRAFFIC STOP,N US 59
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,DULLES AVE
12/7/2023,PHONE,LOST MISSING RECOVERED ABDUCTD,N SH 6
12/7/2023,PHONE,DISORDERLY CONDUCT,N TOWN CENTER BLVD
12/7/2023,SELF,TRAFFIC STOP,CLEARVIEW DR
12/7/2023,SELF,MINOR ACCIDENT,N SH 6
12/7/2023,PHONE,ALARM BURGLAR,WILLIAMS TRACE BLVD
12/7/2023,SELF,CVE INSPECTION,FESTIVAL PARK RD
12/7/2023,SELF,FOLLOW UP,S SH 6
12/7/2023,PHONE,CRIMINAL MISCHIEF,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/7/2023,SELF,TRAFFIC STOP,N US 59
12/7/2023,SELF,SEXUAL ASSAULT,5TH ST
12/7/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/7/2023,SELF,TRAFFIC STOP,N US 59
12/7/2023,SELF,TRAFFIC STOP,JULIE RIVERS DR
12/7/2023,SELF,TRAFFIC STOP,N US 59
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,WILLIAMS GLEN DR
12/7/2023,SELF,FOLLOW UP,GRANTS LAKE BLVD
12/7/2023,PHONE,DISTURBANCE,N SOUTHWEST FWY
12/7/2023,SELF,ID THEFT,S SH 6
12/7/2023,SELF,CVE INSPECTION,FESTIVAL PARK RD
12/7/2023,PHONE,ABANDONED VEHICLE,GREENWAY DR/OAKLAWN ST
12/7/2023,W911,DISABLED VEHICLE,W US 90A/EASTON AVE
12/7/2023,SELF,TRAFFIC STOP,CORPORATE DR
12/7/2023,SELF,TRAFFIC STOP,CORPORATE DR
12/7/2023,PHONE,ALARM BURGLAR,LEXINGTON BLVD
12/7/2023,SELF,TRAFFIC STOP,BARRINGTON PLACE DR
12/7/2023,PHONE,WELFARE CONCERN,N GRAND PKWY
12/7/2023,SELF,CVE INSPECTION,FESTIVAL BLVD
12/7/2023,SELF,TRAFFIC STOP,JULIE RIVERS DR
12/7/2023,PHONE,MINOR ACCIDENT,W AIRPORT BLVD/ALSTON RD
12/7/2023,SELF,DISABLED VEHICLE,WALLINGFORD AVE
12/7/2023,SELF,TRAFFIC STOP,JULIE RIVERS DR
12/7/2023,PHONE,WELFARE CONCERN,SHADOW BEND DR
12/7/2023,SELF,TRAFFIC STOP,JULIE RIVERS DR
12/7/2023,W911,WELFARE CONCERN,KENSINGTON DR
12/7/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/7/2023,SELF,DISABLED VEHICLE,W AIRPORT BLVD
12/7/2023,PHONE,MENTAL HEALTH CONCERN,COUNTRY BROOK CT
12/7/2023,SELF,CVE INSPECTION,FESTIVAL PARK RD
12/7/2023,PHONE,MINOR ACCIDENT,S SH 6/FIRST COLONY BLVD
12/7/2023,PHONE,ASSIST BY LAW,LAKE POINTE PKWY
12/7/2023,PHONE,ALARM BURGLAR,LEXINGTON BLVD
12/7/2023,PHONE,DISABLED VEHICLE,N US 59
12/7/2023,PHONE,PROPERTY LOST RECOVERED,PINE ST
12/7/2023,SELF,CVE INSPECTION,FESTIVAL BLVD
12/7/2023,WALK,THEFT,SUGAR CREEK CENTER BLVD
12/7/2023,SELF,TRAFFIC STOP,WESCOTT AVE
12/7/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/7/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/7/2023,SELF,CVE INSPECTION,FESTIVAL PARK RD
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,S SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,BRICKHAVEN AVE
12/7/2023,PHONE,RESIDENTIAL FIRE,DRAKE ELM CT
12/7/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/7/2023,SELF,CVE INSPECTION,FESTIVAL BLVD
12/7/2023,PHONE,VIOLATION CITY ORDINANCE,WOODSIDE CT
12/7/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/WESCOTT AVE
12/7/2023,SELF,FLAGDOWN,BONAVENTURE WAY
12/7/2023,PHONE,MENTAL HEALTH CONCERN,CORDES DR
12/7/2023,PHONE,THEFT,ELDRIDGE RD
12/7/2023,PHONE,PARKING VIOLATION,ELDRIDGE RD/ROYAL LAKE DR
12/7/2023,SELF,DISABLED VEHICLE,E US 90A/BAYVIEW DR
12/7/2023,SELF,TRAFFIC STOP,DULLES AVE
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,DRAKEWOOD DR
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,DUNLEIGH CT
12/7/2023,PHONE,CIVIL PROBLEM STANDBY,BOURNEWOOD DR/GREYWOOD DR
12/7/2023,PHONE,FRAUD,S SOUTHWEST FWY
12/7/2023,PHONE,ALARM BURGLAR,MUSEUM SQUARE DR
12/7/2023,PHONE,WARRANT SERVICE,CRABB RIVER RD
12/7/2023,PHONE,ALARM HOLD UP,CHEVY CHASE CIR
12/7/2023,PHONE,MINOR ACCIDENT,S US 59
12/7/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/7/2023,PHONE,MENTAL HEALTH CONCERN,N SH 6
12/7/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,ELKINS RD
12/7/2023,PHONE,911 HANG UP,BARRINGTON PLACE DR
12/7/2023,PHONE,ASSIST CITIZEN,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,ELKINS RD
12/7/2023,PHONE,MINOR ACCIDENT,N SH 6
12/7/2023,PHONE,ALARM BURGLAR,LEXINGTON BLVD
12/7/2023,SELF,TRAFFIC STOP,ELKINS RD/COMMONWEALTH BLVD
12/7/2023,PHONE,DISABLED VEHICLE,AVENUE E/DULLES AVE
12/7/2023,SELF,TRAFFIC STOP,COMMONWEALTH BLVD/UNIVERSITY BLVD
12/7/2023,SELF,ASSIST BY LAW,CENTURY SQUARE BLVD
12/7/2023,SELF,ASSIST BY LAW,N TOWN CENTER BLVD
12/7/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/7/2023,SELF,FOLLOW UP,UNIVERSITY BLVD
12/7/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/7/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,ORCHARD BLOSSOM DR
12/7/2023,SELF,TRAFFIC STOP,PALM ROYALE BLVD
12/7/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD/COMMONWEALTH BLVD
12/7/2023,SELF,MINOR ACCIDENT,DULLES AVE
12/7/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/7/2023,PHONE,ALARM BURGLAR,SWEETWATER BLVD
12/7/2023,W911,MINOR ACCIDENT,S SOUTHWEST FWY
12/7/2023,PHONE,WEAPONS OFFENSES,N SH 6/LEXINGTON BLVD
12/7/2023,W911,911 HANG UP,W BELLFORT AVE
12/7/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/7/2023,PHONE,MINOR ACCIDENT,UNIVERSITY BLVD/ABERFELDY ST
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,S SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,WILLIAMS TRACE BLVD
12/7/2023,SELF,PRISONER PROCESS,S SH 6
12/7/2023,PHONE,MENTAL HEALTH CONCERN,COUNTRY BROOK CT
12/7/2023,PHONE,DISABLED VEHICLE,S SH 6 FRONTAGE RD/W US 90A
12/7/2023,PHONE,911 HANG UP,BAINBRIDGE DR
12/7/2023,SELF,TRAFFIC STOP,S SH 6/S SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/7/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,BROOKS ST
12/7/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY
12/7/2023,SELF,TRAFFIC STOP,SANSBURY BLVD
12/7/2023,PHONE,MINOR ACCIDENT,N SH 6/DULLES AVE
12/7/2023,PHONE,PROPERTY LOST RECOVERED,PALM ROYALE BLVD
12/7/2023,PHONE,MINOR ACCIDENT,N US 59
12/7/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,S PARKWAY BLVD
12/7/2023,W911,RECKLESS DRIVER CONDUCT,ALICANT DR
12/7/2023,SELF,PROPERTY LOST RECOVERED,PALM ROYALE BLVD
12/7/2023,PHONE,MINOR ACCIDENT,N US 59
12/7/2023,PHONE,WELFARE CONCERN,WHITWORTH WAY
12/7/2023,PHONE,911 HANG UP,TOWN SQUARE PL
12/7/2023,PHONE,WELFARE CONCERN,BRIDGETON CT
12/7/2023,PHONE,FRAUD,STONE CANYON DR
12/7/2023,PHONE,ASSIST CITIZEN,BRAMBLEBURY DR
12/7/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/7/2023,SELF,TRAFFIC STOP,N SH 6
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,ACACIA DR/AUSTIN PKWY
12/7/2023,SELF,TRAFFIC STOP,N SH 6
12/7/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/7/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,UNIVERSITY BLVD/COMMONWEALTH BLVD
12/7/2023,SELF,TRAFFIC STOP,CITY WALK
12/7/2023,SELF,TRAFFIC STOP,S SH 6
12/7/2023,PHONE,CARDIAC OR RESPIRATORY ARREST,KEERAN POINT LN
12/7/2023,SELF,TRAFFIC STOP,W US 90A
12/7/2023,SELF,TRAFFIC STOP,DULLES AVE
12/7/2023,SELF,TRAFFIC STOP,E US 90A
12/7/2023,SELF,TRAFFIC STOP,KEMPNER ST
12/7/2023,SELF,TRAFFIC STOP,S US 59
12/7/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,ANN ARBOR CT
12/7/2023,SELF,TRAFFIC STOP,GREATWOOD PKWY
